1axis_OA            2axis_OA            3axis_OA 
53.48084473884741 176.99918166218956 81.08529622379399
53.452724864727905 177.638101787644 83.18696104822138
54.227654946300476 172.6781782823916 85.67944413190143
51.32490618558182 180.6139773162936 83.8138896520545
57.96940868727811 179.27575491926694 80.98327270835576
49.76507819453469 179.03159507714028 63.401993125739736
48.993940134469426 172.2921824684566 55.29179508471285
49.4180417739827 178.34536658399188 55.05300036945486
48.76102657398709 176.68090417378335 48.31195587840734
51.45341037194253 176.53634093869456 49.39123974885826
