timestamp,accX,accZ
0,0.94,0.59
1,0.86,1.74
2,0.43,-1.33
3,-0.65,1.07
4,-0.32,1.79
5,0.66,1.63
6,-0.1,0.48
7,2.14,0.23
8,-1.51,-0.51
9,2.46,2.3
10,-1.57,1.69
11,1.52,2.03
12,-1.98,1.67
13,3.16,-0.71
14,-2.1,0.41
15,0.85,1.85
16,-0.42,1.35
17,1.19,0.21
18,-0.45,1.74
19,0.45,-1.06
20,1.5,2.11
21,-0.08,1.21
22,0.57,2.1
23,-0.42,0.6
24,0.88,0.52
25,-2.37,-0.46
26,3.35,2.44
27,-1.15,1.34
28,0.99,0.39
29,-1.21,1.39
30,1.19,-0.72
31,0.39,1.11
32,-0.0,1.74
33,-0.26,1.71
34,-1.09,-0.44
35,1.32,1.74
36,-0.15,-1.74
37,0.09,2.42
38,0.19,1.3
39,-0.29,1.61
40,0.79,1.91
41,-0.16,-0.7
42,0.84,0.73
43,0.77,2.08
44,-0.63,2.68
45,0.35,-0.39
46,1.16,2.38
47,0.11,-1.45
48,-0.35,1.36
49,1.07,2.09
50,-0.38,1.08
51,0.02,1.03
52,0.87,0.47
53,-0.66,-0.23
54,1.08,2.0
55,-0.36,1.27
56,0.14,1.47
57,-0.31,1.77
58,2.59,-0.74
59,-1.7,0.29
60,1.77,2.84
61,-2.4,0.91
62,1.24,0.02
63,-0.45,1.49
64,-0.18,-1.33
65,0.11,1.53
66,0.1,0.72
67,0.87,2.13
68,1.01,1.24
69,-0.15,-0.06
70,1.6,-0.59
71,0.29,2.55
72,-1.42,1.4
73,0.69,1.39
74,1.24,2.16
75,-0.19,-1.43
76,0.38,0.99
77,-1.12,1.61
78,2.1,2.36
79,0.02,-0.8
80,0.77,1.62
81,1.66,-0.78
82,-0.13,2.05
83,2.61,2.33
84,-1.44,1.19
85,-1.83,1.73
86,-0.6,-1.12
87,0.52,0.33
88,1.34,2.11
89,-1.2,1.28
90,2.01,1.12
91,-1.83,0.65
92,0.81,-1.14
93,-0.71,1.14
94,1.62,2.91
95,0.99,1.01
96,-2.79,0.44
97,2.44,1.24
98,-2.41,-0.84
99,2.49,3.04
100,-1.78,0.36
101,-0.44,2.04
102,-0.58,1.66
103,1.99,-0.25
104,-2.27,0.13
105,1.83,2.91
106,-1.07,1.31
107,0.97,0.26
108,0.2,1.91
109,-0.3,-1.41
110,1.18,1.58
111,-0.43,0.67
112,0.89,2.23
113,0.11,-0.44
114,1.1,0.83
115,0.1,-0.85
116,-0.62,2.3
117,-0.19,1.19
118,0.45,1.43
119,-0.31,2.56
120,1.28,-0.95
121,-0.67,0.61
122,0.07,1.93
123,1.75,2.16
124,-0.73,-1.07
125,1.75,1.95
126,-0.71,-1.65
127,0.36,2.34
