timestamp,accX,accZ
0,1.22,1.09
1,0.37,-1.45
2,2.37,2.72
3,2.58,2.03
4,3.07,3.97
5,3.38,2.98
6,0.09,1.04
7,3.82,-1.03
8,-1.05,1.1
9,4.16,2.18
10,1.93,2.26
11,-1.48,2.59
12,1.1,-1.23
13,3.81,-3.35
14,-2.72,0.46
15,5.26,1.47
16,-3.17,2.34
17,1.81,2.01
18,-1.6,2.08
19,1.15,-1.45
20,1.56,0.33
21,-2.22,1.89
22,3.79,3.37
23,-2.46,2.3
24,2.28,0.78
25,1.38,-2.9
26,-1.59,0.99
27,0.07,2.78
28,1.93,2.15
29,-1.0,2.84
30,2.5,-0.75
31,-1.25,-1.32
32,-0.09,0.08
33,2.38,2.78
34,-0.29,2.98
35,0.38,1.29
36,0.06,1.21
37,1.78,-2.93
38,-2.85,0.83
39,1.05,3.45
40,2.36,2.23
41,-0.72,2.1
42,1.7,0.43
43,0.67,-2.97
44,-1.76,1.95
45,3.16,1.87
46,-0.93,2.62
47,-3.35,1.18
48,4.32,-0.28
49,-0.91,-3.03
50,1.78,3.09
51,2.3,1.53
52,-1.2,2.11
53,0.91,1.81
54,1.25,-2.17
55,-1.14,-1.18
56,-0.36,2.64
57,1.5,1.87
58,0.03,2.85
59,2.34,3.04
60,0.7,-3.33
61,-0.79,-0.37
62,1.27,2.51
63,1.97,1.34
64,-3.64,3.15
65,1.37,0.92
66,0.41,-2.71
67,-0.53,1.03
68,0.66,2.34
69,-1.67,1.83
70,0.13,2.28
71,-0.61,0.73
72,-0.89,-3.34
73,-0.53,2.72
74,1.15,2.15
75,-1.23,1.39
76,-0.57,2.32
77,1.18,-1.84
78,-0.16,-0.29
79,-0.44,2.88
80,0.54,0.77
81,-0.55,2.94
82,-1.53,1.39
83,3.22,-1.43
84,-1.27,-0.15
85,-0.27,4.14
86,1.9,0.66
87,-0.77,2.98
88,0.98,1.87
89,0.35,-3.36
90,-2.59,1.51
91,4.24,0.95
92,1.35,2.24
93,-1.27,2.82
94,4.83,-1.49
95,-2.04,-2.28
96,1.77,2.72
97,1.21,0.63
98,-1.06,2.62
99,1.85,1.06
100,0.86,-1.77
101,-1.18,-1.13
102,0.36,2.97
103,0.27,1.18
104,-0.33,3.61
105,-0.83,2.0
106,2.55,-2.56
107,-0.93,-0.19
108,2.16,3.4
109,1.85,1.13
110,-2.64,2.8
111,2.66,2.84
112,1.5,-2.88
113,-1.4,1.74
114,1.16,2.82
115,-0.11,2.41
116,-1.71,1.53
117,2.32,0.24
118,-2.81,-2.88
119,0.54,3.67
120,2.18,0.38
121,-1.73,3.29
122,2.26,1.56
123,0.48,-1.92
124,-0.13,-0.08
125,0.13,2.31
126,1.38,1.94
127,-0.37,3.0
