timestamp,accX,accZ
0,-1.07,0.97
1,0.76,1.37
2,3.74,4.49
3,-3.49,-0.65
4,4.43,1.5
5,0.16,-0.68
6,0.83,1.3
7,-0.22,4.22
8,2.24,-2.57
9,-2.32,3.24
10,1.97,-2.03
11,3.07,1.09
12,-3.24,2.11
13,-0.99,3.52
14,-0.2,-2.22
15,-1.63,0.91
16,2.67,-1.36
17,0.23,1.64
18,1.74,2.88
19,-1.52,2.17
20,0.53,6.04
21,2.03,-1.62
22,-0.71,-0.19
23,-2.51,2.62
24,1.84,3.6
25,-1.7,-2.23
26,-2.5,2.43
27,2.13,-2.72
28,2.9,1.57
29,-0.18,3.22
30,2.05,3.76
31,-3.42,-1.79
32,-1.52,-0.5
33,2.11,-1.46
34,1.93,3.47
35,-1.16,2.53
36,-2.73,1.04
37,3.07,4.36
38,-3.1,-1.27
39,-0.23,-0.46
40,1.44,3.23
41,0.62,4.54
42,1.23,-3.64
43,-0.17,2.3
44,1.3,-2.62
45,0.47,2.12
46,-1.47,1.14
47,3.84,4.01
48,3.24,3.38
49,0.55,0.23
50,0.33,-1.57
51,-1.7,1.13
52,1.63,3.81
53,-0.18,-0.19
54,0.01,1.72
55,4.94,-2.54
56,-4.65,1.01
57,2.06,1.01
58,-0.7,4.21
59,3.92,-3.37
60,-1.76,1.57
61,1.63,-1.42
62,2.36,1.29
63,-1.89,2.25
64,2.17,2.78
65,2.23,2.8
66,1.82,-0.87
67,0.47,-0.88
68,-0.06,3.37
69,1.73,3.95
70,1.1,-2.81
71,-0.75,1.51
72,1.65,-2.3
73,-0.66,1.14
74,-0.11,3.32
75,-0.33,3.06
76,2.12,-1.29
77,-0.18,2.09
78,1.59,-1.72
79,-1.29,3.32
80,3.0,2.87
81,-2.4,0.73
82,2.68,3.33
83,-1.71,-1.28
84,2.99,-0.35
85,-0.82,1.11
86,1.28,5.46
87,-1.5,-4.5
88,-1.06,2.74
89,1.26,-3.17
90,-2.27,0.86
91,1.17,0.9
92,-0.89,3.88
93,1.04,-1.2
94,3.87,1.09
95,-0.75,-1.32
96,3.1,1.19
97,3.61,4.06
98,-1.62,-1.42
99,0.91,4.95
100,3.87,-2.73
101,-0.25,1.83
102,-2.42,2.21
103,-0.9,3.18
104,1.44,-2.82
105,-2.28,0.63
106,2.15,-1.29
107,-0.66,2.38
108,4.15,2.45
109,1.43,2.32
110,0.85,3.09
111,2.06,-0.48
112,-1.84,-1.53
113,4.37,2.25
114,-2.92,3.15
115,0.06,-2.97
116,0.01,1.87
117,0.12,-2.1
118,-1.31,1.46
119,-1.86,2.54
120,1.6,3.73
121,0.71,-0.39
122,-2.71,1.72
123,4.08,-2.85
124,-1.21,3.49
125,2.66,1.97
126,-1.4,2.47
127,-2.18,1.53
