timestamp,accX,accZ
0,1.23,-3.11
1,1.9,1.08
2,1.72,-4.65
3,-0.2,4.06
4,1.1,2.34
5,0.08,4.81
6,0.58,-1.29
7,1.05,-0.38
8,0.45,-3.42
9,0.08,3.67
10,0.41,3.95
11,0.22,2.97
12,-2.57,3.55
13,4.44,-3.23
14,-2.38,-2.38
15,0.76,4.0
16,-0.94,2.92
17,3.8,1.05
18,-3.04,-0.6
19,2.95,-3.53
20,-2.57,1.04
21,2.63,2.85
22,-0.64,3.9
23,-1.32,-1.52
24,1.08,-1.98
25,-0.33,-3.17
26,-0.86,5.51
27,0.26,2.95
28,-0.89,3.94
29,2.41,2.63
30,1.81,-2.84
31,1.05,-1.46
32,-0.0,4.31
33,1.48,4.05
34,0.84,-3.9
35,2.03,1.33
36,-0.37,-5.17
37,-1.52,4.51
38,2.17,1.63
39,-0.5,5.46
40,-1.9,-0.88
41,1.56,-0.23
42,0.97,-2.63
43,-0.09,4.21
44,1.24,4.26
45,-0.71,2.54
46,-1.64,3.29
47,3.27,-4.16
48,-2.81,-0.86
49,1.58,2.75
50,-1.21,4.19
51,2.17,-1.42
52,-1.28,-0.08
53,1.49,-3.47
54,-1.43,1.92
55,-0.03,3.19
56,1.43,4.15
57,-0.98,-0.92
58,1.17,-2.11
59,0.49,-3.26
60,0.07,5.92
61,0.61,2.99
62,-0.82,3.63
63,2.55,2.53
64,0.56,-3.48
65,0.73,-0.56
66,-1.12,3.59
67,0.59,3.98
68,-2.32,-3.67
69,5.44,0.81
70,-2.91,-4.91
71,0.91,5.1
72,0.01,1.56
73,-0.9,5.28
74,3.19,0.14
75,-0.99,-0.25
76,3.18,-2.66
77,-4.36,4.01
78,1.51,5.48
79,-0.28,-1.98
80,0.44,3.52
81,3.58,-4.69
82,-2.38,1.72
83,1.08,2.87
84,-1.14,3.79
85,-0.01,-2.72
86,1.05,-0.03
87,1.6,-3.35
88,-0.05,3.66
89,1.41,2.99
90,-1.12,4.07
91,-2.15,3.45
92,2.3,-2.06
93,-1.67,-2.98
94,2.51,4.66
95,-1.13,3.14
96,-0.11,3.37
97,-2.83,-0.55
98,1.88,-2.96
99,-0.39,0.15
100,1.43,3.52
101,0.48,4.27
102,-0.94,-4.32
103,2.86,0.29
104,-1.16,-4.82
105,-0.24,5.23
106,2.32,1.8
107,-1.59,4.89
108,-0.66,0.81
109,0.28,-2.34
110,0.95,-2.11
111,-0.61,3.8
112,1.78,5.03
113,-1.68,-1.78
114,2.66,2.27
115,2.73,-4.43
116,-0.24,1.52
117,-1.01,4.13
118,-1.42,2.69
119,0.71,-2.26
120,-3.01,0.36
121,3.33,-4.17
122,-3.4,3.85
123,1.3,3.01
124,-0.08,3.63
125,1.25,4.58
126,-0.66,-3.3
127,1.71,-2.64
