timestamp,accX,accZ
0,-9.26,-4.4
1,1.52,5.72
2,2.17,0.77
3,-5.84,-5.49
4,3.44,4.44
5,-2.87,14.59
6,-4.32,-14.05
7,-0.33,7.6
8,5.1,-3.5
9,-5.12,-3.44
10,4.13,5.64
11,-0.6,6.28
12,-2.57,-0.74
13,7.09,4.45
14,-6.64,-6.01
15,0.84,0.23
16,10.64,14.23
17,-13.57,-10.23
18,5.92,4.76
19,0.03,-1.33
20,-9.49,-4.61
21,6.47,3.95
22,1.47,10.56
23,-3.9,-8.87
24,2.36,8.02
25,1.28,-6.23
26,-4.03,-1.1
27,6.54,6.64
28,1.4,0.51
29,-5.77,1.33
30,6.49,2.22
31,-6.85,-6.88
32,1.9,1.32
33,1.63,13.85
34,-3.82,-14.35
35,2.63,7.25
36,1.31,-4.02
37,-6.42,-2.52
38,6.55,4.17
39,-3.08,6.8
40,-4.1,-2.78
41,2.5,6.96
42,-0.16,-5.92
43,-3.43,-0.89
44,9.27,12.53
45,-4.94,-9.47
46,2.8,3.74
47,4.44,1.55
48,1.16,-5.05
49,0.72,2.72
50,8.15,14.53
51,-9.29,-13.24
52,5.95,9.75
53,-1.84,-2.11
54,-8.45,-4.01
55,8.59,6.2
56,-5.68,7.56
57,-3.13,0.47
58,5.33,4.64
59,-2.65,-5.61
60,0.78,0.26
61,6.8,14.04
62,-7.17,-7.7
63,7.55,4.47
64,1.08,0.28
65,-7.93,-5.02
66,7.1,5.21
67,-2.73,12.04
68,-0.09,-12.28
69,2.11,7.4
70,1.8,-5.47
71,-3.07,-1.73
72,2.59,8.42
73,3.09,4.68
74,-9.04,2.85
75,6.03,2.42
76,-4.71,-6.47
77,4.16,-1.9
78,-0.59,14.89
79,-2.53,-13.17
80,-3.51,5.99
81,6.45,-4.78
82,-6.69,-4.69
83,1.98,4.06
84,2.72,9.61
85,-5.82,-7.04
86,3.48,6.17
87,-1.99,-5.15
88,-5.6,-3.31
89,6.4,7.73
90,-5.5,-4.66
91,7.17,4.81
92,-1.62,2.33
93,-0.04,-4.02
94,-0.49,2.12
95,5.36,13.8
96,-5.49,-13.06
97,6.77,8.13
98,1.91,-1.74
99,-5.2,-2.52
100,3.27,3.84
101,-4.14,10.75
102,-5.58,-1.55
103,7.83,8.33
104,-5.0,-5.69
105,1.89,-0.25
106,3.61,10.7
107,2.56,1.36
108,2.6,3.75
109,5.45,1.99
110,-5.55,-6.23
111,3.1,2.98
112,2.86,14.4
113,-4.56,-12.73
114,-0.73,8.64
115,2.04,-3.48
116,-9.17,-5.19
117,2.97,4.63
118,3.62,7.57
119,-5.53,1.6
120,3.46,4.47
121,-2.23,-3.72
122,-1.4,0.59
123,12.05,15.16
124,-4.9,-8.96
125,0.54,5.63
126,4.58,-1.4
127,-6.85,-3.66
