timestamp,accX,accZ
0,-1.42,4.57
1,1.8,-3.3
2,1.73,1.5
3,-0.83,-2.47
4,1.02,4.3
5,-3.18,1.43
6,1.63,4.12
7,1.07,0.44
8,-2.23,-0.85
9,0.2,-0.44
10,-0.34,1.34
11,1.18,4.39
12,1.42,-2.98
13,1.13,2.05
14,0.21,-3.56
15,-0.78,2.27
16,0.25,2.02
17,0.54,3.24
18,0.68,-1.64
19,-0.06,0.55
20,3.18,-0.43
21,-0.68,2.62
22,0.92,1.57
23,2.04,2.78
24,-2.78,0.82
25,3.82,0.34
26,-5.49,-1.33
27,2.53,3.98
28,0.36,2.81
29,2.75,-1.33
30,-1.58,0.87
31,0.67,-1.54
32,-2.94,1.37
33,2.62,3.13
34,-0.64,3.29
35,0.02,-1.32
36,-1.31,1.37
37,1.48,-3.38
38,0.7,3.85
39,-0.24,1.18
40,-1.53,3.58
41,1.41,0.58
42,-1.02,-1.35
43,0.07,0.39
44,1.6,2.03
45,-5.52,3.31
46,5.01,-1.28
47,-4.31,0.64
48,-2.06,-2.52
49,0.55,2.04
50,-0.36,2.5
51,-0.37,3.43
52,3.24,-2.2
53,0.07,0.73
54,1.57,-1.23
55,1.86,2.27
56,0.1,2.53
57,-1.56,2.09
58,-0.7,1.05
59,1.1,-0.83
60,-7.35,-0.25
61,3.94,3.31
62,-3.18,2.51
63,4.7,-1.97
64,-4.35,0.02
65,3.44,-0.34
66,2.07,1.51
67,-1.47,1.59
68,3.39,4.71
69,1.02,-2.4
70,0.25,1.66
71,-0.52,-2.59
72,1.51,5.07
73,-1.24,1.87
74,0.61,3.69
75,0.85,-0.22
76,0.53,-0.34
77,0.61,-0.35
78,-0.95,2.45
79,0.21,4.18
80,-0.28,-1.58
81,1.45,1.27
82,0.39,-3.03
83,0.88,3.07
84,0.07,2.37
85,-2.57,3.06
86,4.3,-1.97
87,-2.97,0.43
88,-0.14,-1.25
89,2.82,2.53
90,-3.4,2.79
91,2.34,2.29
92,-2.25,0.94
93,0.93,0.32
94,-2.07,-1.74
95,0.2,4.19
96,0.05,2.61
97,4.51,-0.58
98,-2.16,1.08
99,1.82,-1.61
100,1.33,1.66
101,-0.59,3.48
102,-0.88,3.26
103,-0.13,-1.29
104,-0.49,1.4
105,0.73,-3.2
106,1.53,3.68
107,0.17,0.33
108,-0.4,3.22
109,-2.86,1.51
110,1.75,-0.21
111,-1.55,-1.34
112,-1.1,2.41
113,-0.77,3.24
114,2.25,0.05
115,0.11,1.62
116,3.19,-2.23
117,-0.21,0.8
118,0.66,1.21
119,-0.45,2.94
120,2.91,-2.08
121,0.21,0.69
122,1.29,-1.74
123,4.33,2.79
124,-0.28,2.02
125,1.0,3.01
126,-1.67,-0.17
127,2.94,-0.59
