timestamp,accX,accZ
0,-7.21,-9.45
1,3.37,0.99
2,3.44,2.24
3,-3.73,-4.12
4,2.21,1.88
5,10.34,14.19
6,-8.19,-5.58
7,-1.78,4.39
8,1.8,-3.15
9,-6.68,-2.03
10,4.71,2.78
11,1.65,-2.11
12,-5.01,0.27
13,4.79,3.94
14,-6.63,-4.13
15,-1.73,-0.14
16,6.66,13.31
17,-1.61,-8.92
18,-1.23,6.2
19,7.98,0.28
20,-6.47,-4.1
21,5.13,3.43
22,1.1,11.26
23,-6.82,0.99
24,5.44,4.99
25,-3.66,-3.65
26,1.9,1.99
27,2.44,12.24
28,-1.86,-10.63
29,-0.91,3.97
30,5.65,2.39
31,-8.96,-5.08
32,5.69,4.51
33,7.08,13.62
34,-6.47,-0.51
35,8.42,4.95
36,0.11,-1.92
37,-1.99,0.02
38,2.29,6.71
39,-1.27,-4.03
40,2.25,3.92
41,4.31,2.84
42,-0.78,-4.5
43,4.02,2.71
44,1.57,14.42
45,-6.06,-8.6
46,0.97,5.38
47,4.29,-0.63
48,-5.52,-3.59
49,4.85,7.49
50,-0.44,-0.94
51,-3.63,2.52
52,5.14,2.23
53,-4.74,-3.42
54,1.64,1.43
55,8.64,15.19
56,-6.02,-11.81
57,0.71,3.96
58,0.68,0.19
59,-3.74,-3.91
60,5.33,4.78
61,0.81,4.82
62,-5.39,-1.37
63,4.32,6.85
64,-3.53,-2.48
65,-4.52,-0.41
66,11.48,7.8
67,-4.95,-10.43
68,-1.04,1.55
69,5.8,2.54
70,-8.65,-5.01
71,2.25,1.19
72,5.79,11.37
73,-5.83,-2.17
74,7.02,6.05
75,0.26,-2.18
76,-5.53,-2.16
77,8.0,7.14
78,-4.61,-8.54
79,1.47,4.0
80,3.56,3.35
81,-1.73,-4.07
82,-2.26,0.59
83,7.62,16.22
84,-9.48,-7.38
85,4.47,4.9
86,2.4,-0.08
87,-8.12,-2.24
88,4.33,4.39
89,4.41,7.38
90,-1.79,-0.09
91,3.66,4.55
92,-1.54,-2.12
93,-0.62,1.29
94,3.46,15.32
95,1.71,-10.15
96,6.08,5.45
97,0.76,-0.81
98,-2.58,-4.28
99,0.66,1.97
100,6.35,11.96
101,-3.57,-1.44
102,2.73,4.84
103,1.85,-3.46
104,-8.16,-3.59
105,4.12,11.03
106,-4.01,-9.95
107,1.96,3.6
108,8.1,1.3
109,-2.36,-2.3
110,-2.06,1.37
111,2.49,14.65
112,-3.68,-6.48
113,-3.81,3.79
114,1.59,-2.21
115,-4.45,-3.2
116,7.1,5.63
117,-3.22,-4.79
118,-1.54,2.57
119,6.83,2.51
120,-3.58,-4.16
121,-3.68,1.15
122,2.76,15.01
123,-6.19,-9.92
124,3.38,2.16
125,2.46,-0.95
126,-5.77,-2.42
127,5.89,4.21
