timestamp,accX,accZ
0,-2.85,2.03
1,5.02,1.02
2,-1.54,-0.48
3,1.73,-1.32
4,1.88,1.0
5,3.85,5.0
6,-3.02,-3.29
7,0.89,3.01
8,4.02,-2.37
9,-3.34,1.63
10,2.82,3.45
11,-1.74,2.65
12,1.09,-2.77
13,0.01,1.66
14,-2.47,-2.86
15,2.08,1.46
16,-2.24,3.44
17,-2.03,0.69
18,1.9,3.1
19,-1.85,-0.44
20,1.74,-1.27
21,1.53,4.53
22,-4.15,2.73
23,3.78,-1.72
24,1.51,2.57
25,0.04,-2.35
26,-0.09,-0.85
27,-4.84,3.19
28,2.28,3.58
29,0.35,-2.77
30,-2.38,0.96
31,2.43,-3.61
32,-0.7,4.47
33,1.76,2.68
34,-2.06,2.14
35,2.11,1.41
36,4.65,-0.31
37,-3.92,-2.27
38,4.07,3.95
39,2.97,4.0
40,-3.14,-5.22
41,4.22,2.97
42,-0.1,-3.52
43,2.68,2.81
44,-3.04,1.91
45,1.99,3.31
46,-1.89,-0.74
47,1.45,1.65
48,-0.38,-2.68
49,1.78,5.07
50,-1.79,3.38
51,1.66,-2.18
52,-2.22,1.62
53,4.14,-1.46
54,0.9,0.76
55,0.83,4.19
56,-3.11,3.4
57,-0.27,-2.32
58,-0.21,1.23
59,1.65,-2.39
60,0.05,3.21
61,5.72,2.9
62,-3.34,2.38
63,-2.38,3.64
64,3.12,-1.5
65,-3.07,-0.7
66,3.63,2.98
67,-0.68,4.63
68,0.71,-2.11
69,-2.68,1.88
70,3.02,-2.03
71,3.67,1.28
72,1.03,2.73
73,-0.08,2.95
74,0.78,-2.32
75,-3.56,-0.31
76,2.67,-1.97
77,-1.21,2.06
78,1.08,4.05
79,0.65,0.1
80,0.75,2.63
81,3.13,-0.88
82,-1.52,-0.97
83,0.8,5.19
84,0.39,3.43
85,4.1,-3.69
86,-0.44,2.19
87,0.78,-2.98
88,1.41,3.19
89,-1.52,3.73
90,-0.71,1.71
91,-2.38,-0.52
92,3.7,2.03
93,0.94,-1.08
94,-0.05,3.79
95,0.73,4.4
96,3.65,-3.49
97,-3.01,1.96
98,4.01,-1.53
99,0.38,-0.68
100,0.48,3.13
101,-0.83,2.52
102,2.78,-2.76
103,-0.94,1.0
104,0.13,-1.83
105,1.44,0.98
106,-2.14,3.64
107,1.86,1.8
108,-1.67,2.54
109,4.46,-1.38
110,-3.48,-1.26
111,4.29,3.42
112,0.83,4.72
113,0.17,-3.38
114,-1.46,2.37
115,4.25,-2.46
116,-3.14,2.71
117,3.42,4.12
118,0.5,3.43
119,-0.72,-1.64
120,2.85,1.38
121,2.14,-1.43
122,-1.91,3.54
123,1.73,3.34
124,-0.53,0.22
125,0.68,1.91
126,2.84,-0.96
127,2.25,1.22
