timestamp,accX,accZ
0,1.45,1.32
1,-0.32,4.07
2,-3.19,-1.5
3,3.93,1.42
4,0.63,-1.86
5,-1.23,3.71
6,2.68,2.0
7,-0.89,2.81
8,1.32,1.6
9,-0.3,-2.46
10,-0.21,0.69
11,2.03,2.17
12,-1.13,3.98
13,0.08,-0.36
14,2.29,0.17
15,0.91,-3.04
16,-1.28,1.94
17,1.95,1.78
18,-1.57,3.13
19,1.82,-0.24
20,1.07,-1.15
21,0.05,-1.08
22,1.33,3.72
23,-0.23,3.38
24,0.22,3.43
25,-2.03,0.51
26,2.75,-2.23
27,-0.82,-0.45
28,1.28,2.76
29,-1.59,2.6
30,2.12,1.75
31,1.81,-0.18
32,-0.59,-1.78
33,-1.3,2.82
34,3.36,0.96
35,-2.6,4.28
36,1.19,-2.8
37,2.0,0.29
38,-1.97,-2.23
39,2.69,4.13
40,0.42,1.67
41,-1.78,4.05
42,1.16,0.39
43,-1.42,-1.24
44,0.33,0.16
45,1.97,2.48
46,2.98,5.03
47,-2.31,-0.72
48,3.04,0.4
49,0.05,-2.11
50,0.86,4.17
51,-0.06,1.11
52,-1.43,3.55
53,2.33,-1.53
54,0.06,-0.76
55,0.71,-1.21
56,-1.5,1.21
57,1.41,4.02
58,-1.18,3.29
59,-1.69,2.06
60,1.45,-1.24
61,-0.95,-1.75
62,5.08,4.01
63,-1.12,2.17
64,-1.0,2.93
65,2.43,-0.5
66,-1.25,-1.42
67,0.81,0.89
68,-0.89,1.91
69,-3.72,3.95
70,3.04,-2.72
71,5.14,0.25
72,-3.67,-3.45
73,0.05,3.1
74,3.51,2.41
75,-0.28,3.73
76,0.01,-0.16
77,-1.27,-1.36
78,-0.89,-0.7
79,4.19,3.2
80,-2.11,3.02
81,1.11,1.17
82,-3.53,1.81
83,4.8,-2.01
84,-3.5,1.57
85,2.1,1.34
86,-1.0,3.34
87,1.22,-1.57
88,0.46,-0.24
89,-0.73,-2.12
90,0.2,3.39
91,-0.96,1.2
92,1.73,5.14
93,-1.55,-1.78
94,2.35,0.73
95,-1.86,-3.14
96,0.34,4.06
97,0.66,1.77
98,-1.14,3.68
99,0.05,0.52
100,0.01,-1.91
101,-0.05,-0.05
102,-0.37,1.91
103,1.47,4.41
104,-0.61,-1.57
105,3.6,0.96
106,-0.46,-3.63
107,-0.41,2.92
108,3.35,1.84
109,-4.19,3.44
110,3.24,-1.07
111,1.31,-0.58
112,-2.18,-1.91
113,3.74,2.61
114,-3.74,2.83
115,1.95,2.72
116,-1.89,1.26
117,3.99,-1.86
118,-4.34,-0.96
119,4.52,3.48
120,-2.56,2.09
121,4.44,0.16
122,-0.81,-0.48
123,1.55,-2.05
124,-0.46,2.31
125,2.68,2.56
126,-1.31,4.01
127,2.36,-1.91
