timestamp,accX,accZ
0,0.63,2.4
1,0.03,2.33
2,1.45,-0.35
3,-2.53,0.18
4,0.98,3.44
5,0.6,1.31
6,3.83,0.26
7,-3.95,0.37
8,2.84,-0.72
9,0.42,1.56
10,-1.17,1.45
11,0.09,2.5
12,-2.34,-0.39
13,2.34,2.47
14,-2.04,-2.04
15,-1.82,3.19
16,0.95,1.59
17,-1.25,1.79
18,-1.61,1.23
19,1.55,-0.28
20,1.02,0.07
21,1.2,1.05
22,-0.42,2.76
23,1.2,-1.73
24,0.09,2.46
25,-0.26,-1.72
26,0.34,2.47
27,-1.2,-0.16
28,1.84,2.66
29,-0.87,0.25
30,0.49,1.06
31,-0.73,-0.53
32,0.57,1.04
33,1.97,2.03
34,1.23,0.9
35,-1.45,1.28
36,3.33,-0.31
37,-0.66,0.92
38,1.36,1.75
39,-1.02,1.56
40,-0.61,-0.21
41,1.69,0.85
42,-0.48,-0.82
43,-2.47,1.04
44,5.02,3.04
45,-3.25,1.17
46,0.64,2.96
47,1.46,-0.94
48,-1.89,0.29
49,4.25,2.16
50,-3.97,1.19
51,3.99,0.98
52,-0.81,1.51
53,1.34,-0.83
54,-1.1,1.08
55,0.09,1.68
56,1.74,2.81
57,-1.86,-1.31
58,0.32,0.44
59,-0.02,-0.56
60,-0.27,2.23
61,0.26,1.47
62,0.19,2.01
63,-0.35,1.87
64,1.02,-0.65
65,-0.2,0.42
66,-0.23,2.23
67,-1.7,2.5
68,1.65,-1.28
69,-0.75,1.52
70,-0.02,-0.87
71,0.68,2.1
72,0.29,2.01
73,-0.03,1.69
74,-0.32,0.84
75,0.64,0.85
76,-0.26,-0.23
77,1.78,2.48
78,-1.55,1.52
79,2.4,1.59
80,-1.73,1.17
81,3.56,-0.73
82,-1.41,0.39
83,1.82,1.93
84,0.08,1.63
85,1.59,-0.08
86,2.38,0.24
87,-1.66,-0.21
88,0.12,2.52
89,1.14,0.75
90,-0.5,2.28
91,-1.04,1.04
92,4.54,-0.19
93,-2.72,-0.35
94,1.16,2.99
95,-0.89,1.21
96,1.32,0.82
97,-1.9,0.84
98,3.17,-0.37
99,0.16,0.38
100,0.46,1.45
101,0.98,2.36
102,-0.69,-0.38
103,-0.62,0.49
104,-1.74,0.09
105,1.31,2.19
106,1.57,1.68
107,0.72,1.31
108,0.29,2.23
109,0.03,-0.44
110,0.27,0.67
111,-2.05,1.69
112,2.16,3.04
113,0.09,-1.38
114,1.3,2.37
115,-0.04,-1.45
116,-0.21,2.45
117,0.97,1.29
118,0.02,1.94
119,1.69,1.53
120,-1.0,-0.28
121,1.77,-0.01
122,-0.13,1.77
123,1.53,2.74
124,-0.14,0.27
125,1.6,1.46
126,0.45,-0.65
127,-0.07,1.34
