timestamp,accX,accZ
0,3.03,5.17
1,-3.12,-3.06
2,-0.61,2.99
3,-0.59,0.44
4,0.62,-2.71
5,0.86,4.46
6,-0.5,9.21
7,-1.76,0.97
8,-1.15,4.4
9,3.05,-2.01
10,-4.33,-0.91
11,3.39,4.97
12,-3.57,-2.64
13,0.74,-2.77
14,2.94,1.56
15,-0.9,-4.46
16,1.39,1.59
17,2.52,9.02
18,0.91,-1.47
19,5.11,7.55
20,-0.96,-1.84
21,-2.36,-2.18
22,3.26,4.19
23,-4.41,2.25
24,3.72,-1.91
25,1.9,4.4
26,-2.27,-4.3
27,-0.56,0.98
28,0.18,6.55
29,-2.43,-3.93
30,0.79,4.54
31,0.88,-0.8
32,-1.55,-1.31
33,2.06,2.72
34,-2.69,6.08
35,-0.76,-1.48
36,4.4,4.24
37,0.31,-4.25
38,-1.03,-0.68
39,1.9,4.89
40,-0.42,-5.1
41,-4.34,2.3
42,0.72,0.12
43,-0.56,-2.85
44,0.97,2.95
45,1.45,7.09
46,-2.06,1.16
47,2.58,3.7
48,0.26,-2.81
49,-2.06,-0.41
50,3.9,5.29
51,-1.74,-0.42
52,-0.42,0.29
53,-0.66,0.41
54,-0.83,-3.51
55,2.0,2.45
56,2.91,8.6
57,-2.16,-2.2
58,2.14,4.52
59,0.41,-0.77
60,-3.23,-3.74
61,1.12,4.49
62,0.76,4.03
63,-1.89,-0.42
64,6.71,3.14
65,-5.54,-4.33
66,0.29,0.93
67,4.33,6.34
68,-2.66,-3.61
69,3.08,0.72
70,0.68,1.66
71,-1.8,-4.94
72,1.18,3.8
73,0.77,8.01
74,-3.25,0.7
75,6.64,4.16
76,-2.0,-3.88
77,-2.88,0.36
78,4.4,4.43
79,-5.72,-3.29
80,3.23,-1.87
81,-5.61,0.62
82,1.72,-4.83
83,3.92,0.65
84,-0.99,9.7
85,1.66,0.61
86,-2.44,4.75
87,-0.77,-2.89
88,-1.63,0.33
89,3.53,4.95
90,-0.68,-0.93
91,2.56,-2.95
92,5.24,2.85
93,0.37,-4.36
94,2.13,4.17
95,-1.61,5.69
96,-0.34,-1.54
97,-1.75,3.77
98,1.93,-0.81
99,-4.63,-1.2
100,5.41,5.06
101,-3.69,8.98
102,3.53,-1.64
103,1.94,4.14
104,-0.38,-3.55
105,-0.53,-0.05
106,10.23,9.08
107,-2.64,-7.69
108,-0.14,7.36
109,1.79,-0.91
110,-3.01,-2.47
111,2.07,3.4
112,2.44,12.02
113,-5.05,0.56
114,7.27,5.93
115,-0.99,-3.21
116,0.09,-0.79
117,1.67,5.33
118,-5.67,-2.37
119,-0.07,-0.9
120,0.71,0.43
121,0.39,-5.35
122,-0.13,0.59
123,2.9,9.48
124,-4.33,1.03
125,2.96,2.93
126,2.7,-1.2
127,1.28,-3.64
