timestamp,accX,accZ
0,-1.79,0.36
1,0.84,2.66
2,0.52,1.87
3,-0.08,-0.7
4,-0.35,2.14
5,2.92,-1.54
6,1.17,2.59
7,-1.43,0.35
8,2.74,2.81
9,-0.47,-0.85
10,-0.82,2.17
11,1.01,-0.91
12,-1.21,0.56
13,2.33,1.92
14,-1.51,1.75
15,-0.23,2.58
16,1.05,0.15
17,-0.62,0.3
18,2.11,0.97
19,-2.0,2.23
20,1.99,1.23
21,-1.15,1.58
22,0.94,-0.18
23,0.42,0.42
24,-0.46,1.43
25,0.58,2.68
26,-0.19,-1.67
27,0.14,1.9
28,0.06,-1.25
29,2.26,3.23
30,1.26,0.81
31,-0.15,2.39
32,0.06,0.7
33,1.67,0.1
34,1.0,0.41
35,-0.18,2.5
36,2.4,2.35
37,-0.92,-0.38
38,-0.19,2.23
39,1.75,-1.26
40,-1.33,1.06
41,0.39,1.96
42,-1.37,1.68
43,2.05,-0.47
44,-1.33,2.87
45,3.25,-0.61
46,-0.34,1.8
47,-1.03,2.09
48,1.35,1.71
49,-1.8,0.75
50,-0.02,0.18
51,-1.13,0.44
52,1.56,2.39
53,-0.2,1.97
54,-0.13,1.99
55,-0.73,0.64
56,1.36,0.06
57,0.1,0.23
58,0.2,2.1
59,0.6,2.58
60,0.06,-1.67
61,1.36,2.68
62,-1.45,-1.39
63,0.78,1.88
64,0.98,1.32
65,-0.64,2.19
66,1.58,-0.14
67,1.18,0.65
68,0.09,-0.07
69,1.26,2.03
70,-0.51,2.24
71,1.32,0.91
72,-1.06,1.8
73,0.74,-1.28
74,-0.88,1.1
75,2.47,1.28
76,0.82,2.36
77,0.58,-1.15
78,-0.86,1.9
79,0.08,-1.0
80,0.86,1.63
81,-0.63,1.49
82,-1.12,1.69
83,-0.18,0.21
84,-0.39,0.77
85,-1.62,0.71
86,1.62,2.31
87,-1.37,1.12
88,-0.84,1.26
89,1.63,1.12
90,1.08,-0.19
91,0.64,0.54
92,-0.45,1.14
93,1.61,2.89
94,0.11,-1.67
95,0.47,3.33
96,1.67,-1.83
97,1.16,2.25
98,0.57,0.48
99,1.25,2.54
100,-1.33,-0.8
101,0.71,1.49
102,0.51,-0.15
103,-0.19,0.59
104,-0.99,1.71
105,1.31,1.45
106,-0.95,0.73
107,0.47,-0.08
108,0.8,0.05
109,0.92,2.82
110,-2.64,1.33
111,3.66,0.28
112,-2.21,0.95
113,1.07,-0.23
114,-0.05,0.5
115,-0.64,1.3
116,-0.64,2.07
117,0.8,-0.9
118,-2.16,1.43
119,1.91,-0.16
120,-1.82,2.32
121,3.69,1.1
122,1.0,2.49
123,-0.46,0.41
124,0.82,0.44
125,-0.83,-0.15
126,0.25,2.76
127,1.79,2.28
