timestamp,accX,accZ
0,-0.36,-2.57
1,2.09,0.69
2,-2.27,-2.94
3,4.57,2.34
4,-0.97,2.29
5,2.09,3.24
6,-2.95,1.68
7,-2.49,-2.01
8,2.91,-0.65
9,-3.5,2.04
10,1.79,4.07
11,-2.02,-0.85
12,-3.76,2.16
13,2.16,-3.66
14,-2.39,3.75
15,1.56,-0.77
16,-0.17,4.05
17,0.1,-0.77
18,3.05,0.57
19,-3.04,-1.8
20,1.47,1.5
21,0.02,2.01
22,-0.03,2.3
23,1.1,4.13
24,-2.34,-1.94
25,-3.05,-0.81
26,3.48,3.8
27,0.5,3.3
28,-1.65,-1.78
29,-0.3,1.61
30,-0.82,-3.26
31,-2.35,2.62
32,2.06,0.94
33,-1.69,4.36
34,-0.28,-1.42
35,0.52,0.31
36,0.76,-2.71
37,-1.56,2.78
38,3.17,2.44
39,-3.87,2.7
40,0.27,2.81
41,0.22,-1.89
42,-0.83,-0.56
43,2.66,3.0
44,-1.72,3.47
45,1.0,-1.55
46,3.06,1.64
47,-1.5,-3.99
48,0.36,2.76
49,0.01,0.17
50,2.25,4.32
51,-3.86,-1.88
52,1.22,-0.12
53,-0.38,-2.23
54,0.93,1.08
55,1.46,4.6
56,-0.79,0.87
57,1.73,4.73
58,-1.02,-2.23
59,-2.66,-0.05
60,4.44,3.77
61,0.6,3.12
62,1.5,-1.83
63,-2.39,0.23
64,2.33,-2.18
65,1.07,0.65
66,0.56,1.87
67,-1.39,3.32
68,-3.91,-0.55
69,3.59,1.28
70,-3.76,-4.05
71,-1.0,3.94
72,2.96,2.24
73,-3.9,2.88
74,0.94,2.72
75,-0.15,-2.88
76,-0.18,1.35
77,1.39,1.98
78,-1.07,3.57
79,1.28,-1.86
80,0.35,0.93
81,-0.06,-3.68
82,2.92,1.92
83,1.38,2.42
84,-0.24,3.62
85,2.45,-0.07
86,-2.59,-0.98
87,3.28,-1.4
88,-1.85,2.58
89,0.9,3.68
90,1.1,1.23
91,-0.61,5.25
92,1.17,-2.51
93,-5.3,0.32
94,5.07,1.24
95,-4.92,2.94
96,5.96,-1.05
97,-3.42,0.27
98,5.13,-1.83
99,3.26,1.83
100,0.86,1.66
101,-0.95,3.99
102,1.71,1.06
103,0.24,-0.31
104,1.03,-2.76
105,1.79,4.21
106,0.7,2.86
107,-1.39,2.82
108,-2.16,2.96
109,0.47,-2.88
110,0.66,0.41
111,1.67,1.52
112,0.22,3.16
113,-0.72,-1.24
114,2.12,0.83
115,0.8,-3.65
116,-1.49,2.88
117,3.22,1.48
118,-2.18,3.58
119,1.27,-0.7
120,-0.64,-0.97
121,2.61,-1.43
122,1.43,3.67
123,-0.9,3.64
124,1.78,2.01
125,-3.9,3.71
126,1.49,-3.32
127,-1.13,0.13
