timestamp,accX,accZ
0,-1.79,0.78
1,-0.16,0.68
2,1.35,-0.84
3,1.43,1.48
4,-0.93,5.08
5,2.12,1.69
6,-0.39,3.78
7,-0.95,-1.1
8,-0.4,-1.54
9,1.14,3.22
10,-0.06,2.01
11,-3.44,-0.1
12,3.5,2.04
13,-0.57,-1.52
14,-0.32,0.89
15,0.59,4.49
16,0.4,-0.08
17,-0.72,2.03
18,0.35,0.7
19,1.59,-1.81
20,-2.16,2.91
21,-3.35,3.3
22,3.01,2.9
23,-0.08,2.67
24,-1.11,-2.08
25,0.09,1.69
26,1.25,2.63
27,-0.84,-0.68
28,-1.15,0.05
29,-2.14,1.99
30,-2.56,-2.38
31,-1.21,3.12
32,2.75,6.1
33,0.56,2.92
34,-0.89,2.66
35,3.43,-0.82
36,-1.34,1.05
37,0.21,1.61
38,-0.36,3.1
39,2.49,-2.36
40,1.12,2.85
41,0.87,-2.72
42,-0.15,3.39
43,-0.94,4.03
44,2.68,0.55
45,1.06,5.82
46,2.79,-1.34
47,-1.31,0.77
48,2.42,1.07
49,-1.82,5.1
50,1.72,-1.51
51,-4.39,2.34
52,-1.06,-2.48
53,2.82,2.18
54,-1.95,4.23
55,-0.03,-0.5
56,-2.62,3.14
57,0.57,-0.03
58,-2.55,-1.69
59,1.61,2.95
60,-0.57,5.8
61,-0.54,0.94
62,3.11,3.28
63,-4.47,-2.71
64,2.29,1.29
65,-2.18,4.09
66,-0.73,-2.57
67,-3.5,0.62
68,-1.59,-0.14
69,-0.88,-1.5
70,0.48,2.41
71,1.06,6.04
72,0.93,4.28
73,3.91,2.8
74,-1.92,-1.71
75,1.55,-0.54
76,1.62,4.12
77,-1.23,-2.24
78,-1.99,-1.23
79,-0.03,1.46
80,-0.59,-2.6
81,1.92,2.71
82,-0.47,3.35
83,-2.72,3.92
84,2.07,2.33
85,-0.68,1.09
86,0.5,-0.48
87,0.3,2.54
88,2.95,6.73
89,-1.28,-1.3
90,-2.32,1.33
91,2.29,0.32
92,0.57,2.01
93,1.39,4.05
94,-0.45,-1.16
95,-1.0,2.62
96,1.27,0.93
97,-1.08,-1.86
98,0.98,3.79
99,0.49,5.64
100,-1.55,2.17
101,0.03,2.47
102,-0.2,-1.99
103,-0.05,2.01
104,3.48,3.73
105,-3.63,-1.53
106,3.17,-1.76
107,-5.2,1.05
108,2.27,-3.42
109,0.73,3.41
110,-1.35,4.79
111,2.18,4.8
112,1.35,2.46
113,2.45,-0.44
114,-4.07,-0.48
115,0.58,1.94
116,-2.56,0.54
117,-0.9,-2.39
118,-2.07,1.46
119,0.35,-2.24
120,3.12,1.84
121,-1.34,4.84
122,1.41,2.22
123,2.41,3.6
124,1.73,0.62
125,-1.01,-0.71
126,0.71,2.97
127,-2.08,1.29
