timestamp,accX,accZ
0,-0.32,0.42
1,0.59,-0.8
2,-0.23,2.21
3,1.17,1.92
4,-0.73,0.78
5,-0.45,1.92
6,0.27,-1.13
7,-0.97,1.53
8,0.63,2.66
9,-1.03,1.35
10,1.76,0.04
11,-0.17,1.81
12,1.05,-0.5
13,-0.42,2.14
14,1.33,1.06
15,-1.86,1.3
16,0.82,1.64
17,0.75,0.08
18,-0.1,0.08
19,0.48,1.63
20,1.29,2.1
21,1.55,-0.77
22,0.32,1.91
23,0.02,-1.42
24,-0.22,1.85
25,1.3,1.05
26,0.69,1.91
27,-0.08,0.75
28,0.49,1.09
29,-0.37,-0.85
30,0.18,2.1
31,-0.16,1.94
32,1.71,0.98
33,0.82,2.31
34,1.77,-1.62
35,-1.66,0.44
36,0.96,2.22
37,1.29,0.87
38,0.14,0.57
39,-0.88,0.48
40,0.77,-0.85
41,-2.24,1.23
42,1.23,2.28
43,1.28,1.44
44,-0.34,1.86
45,1.38,0.3
46,-2.06,-0.79
47,0.21,3.27
48,1.91,1.84
49,0.43,0.3
50,0.01,2.2
51,0.37,-1.24
52,-0.14,1.6
53,0.6,2.43
54,0.5,1.34
55,-0.6,0.45
56,-1.27,0.95
57,0.91,-1.1
58,-0.58,3.63
59,1.54,1.9
60,-0.94,1.56
61,-0.37,1.66
62,0.68,-0.25
63,-0.38,-0.26
64,2.63,2.53
65,-2.0,1.11
66,2.92,0.35
67,2.36,1.02
68,-0.56,-0.85
69,2.03,1.64
70,-1.6,0.91
71,1.45,1.82
72,-0.87,0.6
73,-0.37,-0.06
74,2.1,0.08
75,-0.63,1.66
76,3.79,2.56
77,-2.26,-0.08
78,-0.03,2.92
79,2.09,-1.69
80,-1.87,1.43
81,2.16,1.66
82,-0.18,1.77
83,-0.36,0.5
84,0.19,0.77
85,-0.71,-0.71
86,2.46,1.04
87,-1.56,1.5
88,0.39,1.54
89,1.22,2.62
90,0.18,0.01
91,-0.97,-0.21
92,0.23,2.3
93,0.23,2.17
94,2.66,-0.38
95,-0.01,2.0
96,0.44,-1.19
97,-1.54,1.6
98,0.31,0.84
99,-0.15,1.75
100,0.57,1.18
101,-0.47,0.61
102,1.95,-0.5
103,2.64,3.46
104,-0.24,1.99
105,-0.09,0.99
106,-2.14,1.32
107,0.81,-0.67
108,0.59,0.31
109,-0.7,1.39
110,2.81,2.54
111,-0.76,-1.33
112,-0.03,1.75
113,1.64,-1.21
114,-1.57,1.96
115,4.32,1.7
116,-1.91,1.59
117,1.65,1.49
118,-1.21,0.19
119,-0.36,0.34
120,0.93,1.1
121,0.15,2.35
122,-0.54,-0.79
123,0.41,1.85
124,0.69,-1.0
125,1.11,1.9
126,-0.26,1.19
127,1.2,2.01
