timestamp,accX,accZ
0,-0.19,0.16
1,0.87,0.14
2,1.43,3.13
3,-0.81,1.65
4,-0.76,0.66
5,0.02,-0.06
6,0.28,0.03
7,0.71,2.01
8,-3.1,1.13
9,2.9,2.82
10,-2.31,-0.57
11,1.23,0.78
12,0.05,-0.68
13,1.32,3.39
14,0.89,2.06
15,0.89,-1.82
16,1.81,1.41
17,-2.05,-0.04
18,0.84,1.32
19,-0.42,1.69
20,-1.03,2.31
21,1.37,-1.48
22,-0.88,2.09
23,-1.2,-1.37
24,1.64,3.0
25,-1.25,1.86
26,1.67,0.7
27,1.05,0.71
28,1.82,-0.3
29,1.56,1.74
30,0.02,1.7
31,-0.23,2.47
32,0.4,-2.49
33,0.34,1.71
34,0.39,-0.36
35,-0.16,1.82
36,-0.28,2.24
37,0.68,2.16
38,0.02,1.56
39,1.61,-0.34
40,0.33,0.76
41,1.72,2.46
42,-1.0,1.58
43,2.07,2.11
44,0.56,0.22
45,0.23,0.72
46,0.33,-0.24
47,-0.69,2.86
48,1.06,2.13
49,0.45,-1.95
50,-0.86,1.02
51,0.3,-0.76
52,-1.85,2.96
53,0.02,0.8
54,0.56,3.21
55,-0.85,-0.2
56,2.5,0.76
57,-1.16,-0.74
58,1.61,2.63
59,0.09,1.87
60,1.39,-0.33
61,1.67,0.73
62,-2.4,-0.67
63,1.86,0.21
64,0.28,3.52
65,-0.56,1.22
66,1.67,-0.96
67,-1.66,1.04
68,1.32,-0.23
69,-0.4,1.5
70,0.97,2.45
71,-0.73,1.99
72,-0.18,0.43
73,2.49,0.48
74,-0.82,0.01
75,1.39,2.26
76,-1.27,1.79
77,1.73,1.26
78,-0.61,0.48
79,1.43,0.57
80,0.25,0.11
81,-1.93,2.49
82,2.1,2.57
83,-0.89,-2.1
84,1.25,0.62
85,-1.19,-0.18
86,0.48,2.17
87,-0.36,1.25
88,1.0,2.91
89,-1.03,-0.86
90,2.68,1.17
91,-0.95,-0.88
92,0.74,2.81
93,0.4,1.33
94,0.51,-1.35
95,2.43,1.66
96,-1.64,-1.36
97,1.28,2.61
98,0.32,1.83
99,-0.18,2.74
100,0.76,-1.0
101,-1.0,0.78
102,0.58,-0.9
103,-0.11,1.76
104,0.7,2.37
105,1.04,1.28
106,-0.29,1.57
107,1.67,-0.46
108,-0.63,0.25
109,1.17,2.01
110,-0.42,1.57
111,1.53,-1.98
112,-1.39,1.07
113,0.18,0.03
114,-1.36,1.0
115,0.19,2.87
116,0.65,2.01
117,-1.16,-0.82
118,-0.06,0.28
119,1.02,0.5
120,-0.33,2.28
121,-0.56,1.46
122,0.52,2.19
123,-1.15,-0.08
124,1.46,0.71
125,-0.14,-0.26
126,0.79,2.99
127,0.24,2.07
