timestamp,accX,accZ
0,0.92,6.6
1,-0.51,-5.91
2,0.26,-2.04
3,-0.11,3.69
4,2.71,8.93
5,2.55,1.18
6,2.76,5.6
7,0.88,-5.77
8,0.3,-0.03
9,1.24,6.62
10,-4.38,-4.76
11,1.53,7.42
12,-4.04,-1.03
13,-0.84,-4.63
14,2.37,3.13
15,-3.45,8.12
16,-5.55,-9.92
17,2.45,5.26
18,1.02,-3.83
19,-2.28,-1.87
20,1.64,5.37
21,-2.8,4.23
22,2.11,1.6
23,2.44,6.21
24,0.71,-7.63
25,1.54,3.46
26,-1.11,5.43
27,-7.3,-4.65
28,0.68,3.69
29,-1.39,0.9
30,-6.39,-3.7
31,2.72,4.16
32,0.81,13.12
33,0.29,-5.45
34,-2.14,6.58
35,-1.35,-6.25
36,3.53,0.43
37,0.21,3.84
38,0.9,5.76
39,-0.41,4.19
40,-2.72,2.94
41,0.96,-5.99
42,2.86,3.18
43,4.55,9.25
44,-3.47,-4.21
45,-2.24,6.46
46,1.21,-2.52
47,-0.32,-5.02
48,-1.67,5.83
49,3.5,10.27
50,-2.64,-6.76
51,0.08,6.01
52,3.95,-4.4
53,-2.5,-1.47
54,3.51,8.58
55,-3.65,1.07
56,4.0,8.41
57,-0.09,-0.57
58,-0.65,-5.6
59,1.71,2.71
60,3.85,9.36
61,-7.2,-7.17
62,3.9,4.29
63,0.12,-3.09
64,-2.37,-3.73
65,3.75,3.9
66,-5.55,7.36
67,4.37,-2.08
68,-1.25,6.99
69,-1.24,-8.23
70,0.78,1.95
71,1.94,4.17
72,-0.45,1.03
73,2.83,4.79
74,1.46,2.7
75,-0.53,-7.04
76,-0.46,5.4
77,-0.86,10.19
78,-2.68,-7.84
79,-4.26,4.81
80,0.19,-3.35
81,3.1,-1.57
82,-0.75,3.96
83,-0.57,6.02
84,-1.04,3.18
85,-1.46,4.57
86,-1.62,-7.23
87,-2.67,1.74
88,-2.03,7.22
89,1.11,-4.2
90,-0.31,5.3
91,-1.65,-0.95
92,-0.23,-3.58
93,1.18,2.96
94,5.24,10.93
95,-0.18,-6.83
96,-1.22,5.59
97,2.72,-3.82
98,-0.06,0.02
99,4.76,6.11
100,1.84,6.14
101,5.28,6.49
102,-4.74,1.89
103,2.97,-6.13
104,0.05,3.29
105,2.01,6.8
106,-6.91,-1.34
107,1.62,3.35
108,1.16,-0.96
109,0.21,-5.72
110,1.42,4.12
111,3.16,10.65
112,-0.9,-8.64
113,1.3,6.89
114,1.17,-6.31
115,-2.13,-0.86
116,5.25,6.14
117,-2.22,4.6
118,3.06,5.86
119,-1.58,2.54
120,-2.63,-7.0
121,0.24,3.04
122,2.84,9.97
123,-4.05,-8.09
124,-0.65,7.4
125,3.14,-4.44
126,-4.83,-2.8
127,3.15,4.17
