timestamp,accX,accZ
0,-0.85,2.44
1,2.53,0.65
2,-1.76,-0.68
3,-0.72,0.63
4,0.92,1.27
5,0.4,4.82
6,0.58,-3.54
7,0.91,1.76
8,0.54,-2.83
9,0.58,3.77
10,3.17,1.11
11,-2.02,3.68
12,0.63,-1.23
13,2.48,0.09
14,-0.55,-0.75
15,1.17,1.42
16,1.51,3.37
17,-0.51,2.48
18,-0.29,3.05
19,2.97,-1.55
20,-2.85,-1.21
21,1.9,3.98
22,-3.21,1.48
23,0.31,2.09
24,-2.15,-1.0
25,0.79,-1.3
26,-1.09,1.28
27,-0.04,1.5
28,-0.65,4.37
29,0.12,-3.68
30,2.64,1.36
31,-0.87,-3.2
32,0.82,3.4
33,3.84,1.96
34,-1.82,4.09
35,1.06,-0.14
36,2.05,-0.51
37,1.66,0.51
38,1.75,1.41
39,-0.11,3.15
40,-0.22,0.94
41,-2.26,2.62
42,3.67,-0.87
43,-3.52,0.85
44,4.27,2.61
45,-3.6,2.76
46,1.66,-1.95
47,-1.17,0.39
48,-0.11,-1.37
49,-0.8,1.6
50,0.35,1.73
51,0.63,3.89
52,-0.33,-1.95
53,2.96,1.26
54,-0.9,-2.5
55,1.88,2.62
56,3.31,1.6
57,-2.54,3.56
58,1.83,1.89
59,-0.77,-0.99
60,1.19,0.19
61,0.21,0.44
62,1.43,4.52
63,-0.47,0.25
64,2.45,2.4
65,1.59,-2.83
66,-3.26,1.07
67,3.08,1.51
68,-2.11,2.96
69,1.53,-1.13
70,0.16,-0.09
71,-0.57,-1.37
72,1.23,2.06
73,-2.15,1.67
74,1.99,3.88
75,-1.75,-2.41
76,2.53,0.13
77,-1.22,-1.98
78,-0.2,3.57
79,-2.22,0.49
80,-0.45,4.68
81,-0.61,2.62
82,0.7,-1.78
83,-0.29,1.11
84,-0.33,0.17
85,0.77,4.86
86,-0.77,-2.04
87,0.66,2.49
88,0.13,-2.86
89,-0.89,2.9
90,1.93,0.14
91,-2.72,3.59
92,0.63,-2.55
93,-1.45,0.26
94,0.6,-1.09
95,3.58,1.48
96,-2.29,1.56
97,2.12,4.03
98,0.51,-0.1
99,0.91,0.23
100,-0.33,-1.56
101,1.38,2.21
102,0.02,2.2
103,-0.56,3.47
104,2.18,1.42
105,-0.92,-1.01
106,0.02,0.96
107,-0.24,1.33
108,0.5,4.45
109,-0.93,-2.54
110,3.15,1.71
111,-0.15,-2.43
112,-2.4,2.35
113,-1.91,1.84
114,-1.4,4.33
115,1.02,0.59
116,2.95,3.4
117,-5.13,-2.36
118,4.68,3.3
119,4.31,4.27
120,-1.52,2.74
121,-0.89,3.05
122,2.92,-1.88
123,3.2,-1.29
124,-1.21,1.41
125,-3.6,1.22
126,5.58,2.02
127,-1.12,1.69
