timestamp,accX,accZ
0,-4.13,1.8
1,-0.09,-0.32
2,-0.6,-3.25
3,0.91,2.64
4,0.93,6.79
5,-0.18,-5.95
6,-0.26,4.9
7,-0.65,-1.55
8,-4.29,-3.62
9,1.04,4.41
10,-2.39,3.98
11,2.26,3.48
12,1.17,2.07
13,-2.74,-4.69
14,5.17,4.48
15,0.22,3.57
16,-2.72,-1.51
17,4.02,-0.44
18,1.06,0.35
19,-2.3,-3.96
20,-1.16,4.5
21,-0.14,7.71
22,-0.51,0.93
23,3.94,5.15
24,1.66,-3.65
25,-3.19,0.62
26,3.78,4.34
27,-0.82,1.38
28,-1.58,-1.56
29,-0.29,2.62
30,-2.97,-4.55
31,1.83,3.78
32,-1.13,6.44
33,-1.19,-4.93
34,-1.5,5.01
35,0.85,-3.16
36,-1.23,-1.41
37,1.62,2.63
38,1.33,7.26
39,-4.05,-0.8
40,4.35,4.16
41,-0.12,-4.46
42,0.14,2.4
43,-0.82,4.56
44,0.85,-6.48
45,0.18,8.01
46,1.66,-2.95
47,0.66,0.77
48,1.34,1.5
49,-0.11,7.0
50,-4.64,2.35
51,2.05,3.24
52,-0.71,-2.51
53,2.89,2.45
54,-1.95,5.14
55,1.91,-1.12
56,-5.25,3.45
57,4.9,-1.46
58,-3.2,-2.93
59,-0.39,3.91
60,3.2,8.13
61,-0.55,-1.93
62,4.99,5.7
63,1.28,-3.29
64,-5.63,0.06
65,3.39,3.99
66,-4.16,3.04
67,-1.45,2.4
68,3.59,0.96
69,-0.34,-4.05
70,-1.48,1.1
71,0.84,8.13
72,1.18,-5.29
73,6.31,2.32
74,0.53,-0.6
75,-0.15,-2.78
76,-0.12,3.99
77,3.32,5.7
78,0.32,2.38
79,-0.73,1.82
80,0.95,-3.89
81,-2.38,1.8
82,0.31,4.45
83,-3.46,-3.52
84,2.78,2.47
85,-0.11,-0.23
86,-1.92,-3.17
87,1.66,4.34
88,1.52,7.29
89,-1.82,-0.89
90,2.82,4.81
91,-2.6,-4.03
92,0.21,1.04
93,0.09,3.13
94,-3.94,1.04
95,3.2,-2.21
96,-1.36,2.1
97,-0.1,-4.08
98,0.7,4.53
99,0.93,6.87
100,0.87,-4.46
101,0.64,5.63
102,-2.71,-4.14
103,1.0,1.27
104,3.04,3.45
105,-2.05,7.03
106,5.89,-0.33
107,-1.84,3.21
108,1.73,-4.66
109,-2.38,3.77
110,1.23,3.32
111,-2.05,-2.24
112,-2.7,4.07
113,4.48,-0.11
114,-0.55,-2.95
115,0.46,3.39
116,2.18,7.57
117,-0.51,0.38
118,-0.24,3.41
119,0.84,-2.3
120,-1.75,-0.95
121,-1.15,4.94
122,-1.64,0.57
123,1.35,2.73
124,4.26,-0.97
125,-3.5,-2.86
126,1.44,2.91
127,-1.08,7.21
